what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248908798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248912228
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343248914982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343248917819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343248918950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248920762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248925844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248929314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248937613
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343248942014
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343248942555
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343248942655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248949408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248951897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248953880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248955073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248959951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343248963894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343248968486
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343248971201
